PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626929,Vaccine-related environments and patient preferences in Japanese patients with autoimmune rheumatic diseases.,2025,"['Masashi Akizuki', 'Haruko Ideguchi', 'Atsushi Ihata', 'Junichi Obata', 'Atsuhisa Ueda', 'Masaomi Yamasaki']","['Akizuki Clinic for Rheumatic Diseases, Yokohama, Japan.', 'Ideguchi Clinic: Primary care and Rheumatology, Yamato, Japan.', 'Department of Rheumatology, NHO Yokohama Medical Center, Yokohama, Japan.', 'Hikari Chuo Clinic, Kawasaki, Japan.', 'Ueda Medical Clinic, Yokohama, Japan.', 'Shin-Yokohama Arthritis and Rheumatology Clinic, Yokohama, Japan.']",
40626318,Leveraged Vaccination to Alleviate Original Antigenic Sin for Enhancing Broad-Neutralizing Antibody Response against SARS-CoV-2 Omicron Subvariants.,2025,"['Kai Ji', 'Xishan Lu', 'Bo Ying']","['Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.', 'Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.', 'Suzhou Abogen Biosciences Co., Ltd. Suzhou Jiangsu China.']",
40625827,"Epidemiology of human respiratory tract infection in Chongqing, China after COVID-19-based on surveillance data encompassing 17 respiratory pathogens.",2025,"['Tingting Li', 'Jiang Long', 'Yu Xiong', 'Li Qi']","['Chongqing Center for Disease Control and Prevention (Chongqing Academy of Preventive Medicine), Chongqing,\xa0China.Chongqing Disease Prevention and Public Health Research Center Construction Program, Chongqing,\xa0China.', 'Chongqing Center for Disease Control and Prevention (Chongqing Academy of Preventive Medicine), Chongqing,\xa0China.Chongqing Disease Prevention and Public Health Research Center Construction Program, Chongqing,\xa0China.', 'Chongqing Center for Disease Control and Prevention (Chongqing Academy of Preventive Medicine), Chongqing,\xa0China.Chongqing Disease Prevention and Public Health Research Center Construction Program, Chongqing,\xa0China.', 'Chongqing Center for Disease Control and Prevention (Chongqing Academy of Preventive Medicine), Chongqing,\xa0China.Chongqing Disease Prevention and Public Health Research Center Construction Program, Chongqing,\xa0China.']",
40625789,Enhancing the response to avian influenza in the US and globally.,2025,['Marion Koopmans'],"['Erasmus Medical Center, Utrecht, Netherlands.Global Virus Network, Tampa, FL, USA.']",
40624510,Dynamics of contact behaviour by self-reported COVID-19 vaccination and infection status during the COVID-19 pandemic in Germany: an analysis of two large population-based studies.,2025,"['Lena Böff', 'Manuela Harries']","['Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany.', 'Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany.']",
40623876,Impact of vaccine mandates and removals on COVID-19 vaccine uptake in Australia and international comparators: a study protocol.,2025,['Annette K Regan'],"['Department of Research and Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.']",
40623118,Estimating behavioural relaxation induced by COVID-19 vaccines in the first months of their rollout.,2025,['Nicolò Gozzi'],"['ISI Foundation, Turin, Italy.']",
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025,"['Christina E Barkauskas', 'Lindsey M Leither', 'Magdalena Ardelt', 'J Scott Overcash', 'Hassan Taha']","['Department of Medicine, Division of Pulmonary and Critical Medicine, Duke Medicine, Durham, North Carolina, United States of America.', 'Intermountain Medical Center, Salt Lake City, Utah, United States of America.', 'Ralph H Johnson VA Medical Center, Charleston, South Carolina, United States of America.', 'Velocity Clinical Research, San Diego, California, United States of America.', 'Stormont Vail Health, Vail, Colorado, United States of America.']",
40622918,Assessing COVID-19 seroprevalence and vaccine uptake among women of reproductive-age in Zanzibar's archipelago.,2025,"['Sayan Das', 'Ali Salim Ali', 'Navdeep Singh', 'Fahad Aftab']","['Centre for Public Health Kinetics, New Delhi, Delhi, India.', 'Center for Public Health Kinetics, Chake Chake, Tanzania.', 'Centre for Public Health Kinetics, New Delhi, Delhi, India.', 'Center for Public Health Kinetics, Chake Chake, Tanzania.']",
40620571,Antispike IgG antibody decay after immunisation with fractional versus full booster doses of COVID-19 vaccines: a 6-month longitudinal analysis of the FRACT-COV trial in Brazil.,2025,"['Marco Antonio Moreira Puga', 'Roberto Dias de Oliveira', 'Patricia Vieira da Silva', 'Joelle I Rosser', 'Stephen Luby', 'Julio Croda']","['Fundação Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.', 'Nursing Course, Universidade Estadual do Mato Grosso do Sul, Dourados, Brazil.', 'Fundação Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.', 'Infectious Diseases and Geographic Medicine, Stanford Medicine, Stanford, California, USA.', 'Infectious Diseases and Geographic Medicine, Stanford Medicine, Stanford, California, USA.', 'Fundação Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.Universidade Federal de Mato Grosso do Sul, Campo Grande, Brazil.']",
40620389,Correspondence: Risk perception of COVID-19 and vaccine uptake among patients with chronic illnesses at a tertiary health facility in Nigeria.,2025,['Hinpetch Daungsupawong'],"[""Phonhong, Lao People's Democratic Republic.""]",
40620334,Prevalence of infection and associated factors after intramedullary nailing in African countries with the Surgical Implant Generation Network program: A systematic review and meta-analysis of available evidence.,2025,"['Abiyu Abadi Tareke', 'Getnet Alemu Andargie']","['Amref Health Africa in Ethiopia, COVID-19 Vaccine/EPI Technical Assistant at West Gondar Zonal Health Department, Gondar, Ethiopia.', 'Department of Nutrition, Antsokiya Gemza District Health Office, North Shoa, Mekoy, Ethiopia.']",
40619244,"Erratum: ""Coffee and green tea consumption with the risk of COVID-19 among the vaccine recipients in Japan: a prospective study"" [J Epidemiol 34(9) (2024) 444-452].",2025,"['Zobida Islam', 'Shohei Yamamoto', 'Tetsuya Mizoue', 'Maki Konishi']","['Department of Epidemiology and Prevention, Center for Clinical Sciences, National Center for Global Health and Medicine.', 'Department of Epidemiology and Prevention, Center for Clinical Sciences, National Center for Global Health and Medicine.', 'Department of Epidemiology and Prevention, Center for Clinical Sciences, National Center for Global Health and Medicine.', 'Department of Epidemiology and Prevention, Center for Clinical Sciences, National Center for Global Health and Medicine.']",
40617765,The hypercoagulable state in COVID-19 and implications for free flap surgery in the lower limb: A retrospective multi-centre study.,2025,"['David Stark', 'Susan Hendrickson']","['North Bristol NHS Trust, Bristol, United Kingdom. Electronic address: David.stark1@nhs.net.', 'North Bristol NHS Trust, Bristol, United Kingdom.']",David.stark1@nhs.net.
40617588,Adaptive immune responses to SARS-CoV-2 in DMARD-treated patients with chronic inflammatory rheumatisms.,2025,"['Maxime Beretta', 'Olivier Fogel', 'Cyril Planchais', 'Thomas Bruneau', 'Pedro Goncalves', 'Jerome Avouac', 'Francis Berenbaum', 'Jérémie Sellam', 'Bruno Fautrel', 'Jacques Morel', 'Beatrice Parfait', 'James P Di Santo', 'Sylvie Behillil', 'Sylvie van der Werf', 'Helene Péré', 'Hugo Mouquet', 'Corinne Miceli-Richard']","['Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cité, Paris, France.', 'Department of Rheumatology, Hôpital Cochin - Assistance Publique Hôpitaux de Paris - Université Paris Cité, Paris, France.', 'Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cité, Paris, France.', 'Service de Microbiologie (Unité de virologie), Hôpital Européen Georges Pompidou, Paris, France.', 'Inserm U1223, Innate Immunity Unit, Institut Pasteur, Paris, France.', 'Department of Rheumatology, Hôpital Cochin - Assistance Publique Hôpitaux de Paris - Université Paris Cité, Paris, France.', 'Faculty of Medicine Pierre & Marie Curie Paris VI, Hopital Saint-Antoine, Paris, France.', 'Faculty of Medicine Pierre & Marie Curie Paris VI, Hopital Saint-Antoine, Paris, France.', 'Department of Rheumatology, Hôpital Cochin - Assistance Publique Hôpitaux de Paris - Université Paris Cité, Paris, France.', 'Immunorhumatologie, CHU Lapeyronie, Montpellier, France.', 'Centre de Ressources Biologique - Hôpital Cochin - Fédération des Centres de Ressources Biologiques-, Assistance Publique Hôpitaux de Paris - Université Paris Cité, Paris, France.', 'Inserm U1223, Innate Immunity Unit, Institut Pasteur, Paris, France.', 'UMR 3569 CNRS, Molecular Genetics of RNA Viruses, National Reference Center Respiratory Viruses, Institut Pasteur, Paris, France.', 'UMR 3569 CNRS, Molecular Genetics of RNA Viruses, National Reference Center Respiratory Viruses, Institut Pasteur, Paris, France.', 'Service de Microbiologie (Unité de virologie), Hôpital Européen Georges Pompidou, Paris, France.', 'Humoral Immunology Unit - INSERM U1222, Institut Pasteur and Universtity Paris Cité, Paris, France.', 'Immunoregulation Unit, Institut Pasteur, Paris, France corinne.miceli@aphp.fr.']",corinne.miceli@aphp.fr.
40617534,Scalable approach for Coronavirus-like particles making based on the Spike protein using Sf9 cells.,2025,['Henrique Coelho de Oliveira'],"['Eppendorf do Brasil Ltda. Rua Presidente Antônio Candido, 80, CEP 05083-060, São Paulo, SP-Brazil.']",
40617406,Erythema Papulatum Centrifugum: A Clinically Distinct Dermatosis. CLINI-AEDV Case Series.,2025,"['I Ballester-Nortes', 'V Fernández-Tapia', 'M E Parera-Amer']","['Servicio de Dermatología. H.U. Morales Meseguer, Murcia, Spain.', 'Servicio de Dermatología. H.U. Son Llàtzer, Palma, Spain.', 'Servicio de Dermatología. H.U. Son Llàtzer, Palma, Spain.']",
40617091,Exposure to two antigenically distinct SARS-CoV-2 variants broadens neutralization patterns.,2025,['Ludwig Knabl'],"['Tyrolpath Obrist Brunhuber GmbH, Hauptplatz 4, 6511, Zams, Austria.']",
40617089,Lessons learnt during establishment of COVID-19 active vaccine safety surveillance in nine African countries.,2025,"['Nana Akosua Ansah', 'Stephen Obaro', 'Kondwani Jambo', 'Samba Sow', 'Eunice Wangeci Kagucia', 'Sergio Chicumbe', 'Tenelisiwe Dlamini', 'Michael Browne', 'Hazel Clothier', 'Jennifer Griffin', 'Yannan Jiang', 'Arier Lee', 'Luam Ghebreab', 'Steven B Black']","['Navrongo Health Research Centre, Navrongo, Ghana. Electronic address: nana.ansah@navrongo-hrc.org.', 'International Foundation Against Infectious Disease (IFAIN), Abuja, Nigeria. Electronic address: stephenson255@gmail.com.', 'Malawi-Liverpool-Wellcome Trust Clinical Research Programme, Malawi. Electronic address: kjambo@mlw.mw.', 'Centre for Vaccine Development (CVD), Mali, Bamako. Electronic address: ssow@cvd-mali.org.', 'KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya. Electronic address: EKagucia@kemri-wellcome.org.', 'Instituto Nacional de Saúde, Mozambique. Electronic address: sergio.chicumbe@ins.gov.mz.', 'National Immunization Programme, Eswatini.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: m.browne@auckland.ac.nz.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: hazel.clothier@mcri.edu.au.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: jennifer.griffin@auckland.ac.nz.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: y.jiang@auckland.ac.nz.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: arier.lee@auckland.ac.nz.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: luam.ghebreab@auckland.ac.nz.', 'Global Vaccine Data Network, Auckland, New Zealand. Electronic address: stevblack@gmail.com.']",nana.ansah@navrongo-hrc.org.
40616520,Discovery of the Clinical Candidate : A Second-Generation of SARS-CoV-2 3CL Protease Inhibitor for Treating COVID-19.,2025,"['Yuto Unoh', 'Keiichiro Hirai', 'Shota Uehara', 'Sho Kawashima', 'Haruaki Nobori', 'Jun Sato', 'Hiromitsu Shibayama', 'Akihiro Hori', 'Kenji Nakahara', 'Kana Kurahashi', 'Masayuki Takamatsu', 'Shiho Yamamoto', 'Qianhui Zhang', 'Miki Tanimura', 'Reiko Dodo', 'Yuki Maruyama', 'Ryosuke Watari', 'Tetsuya Miyano', 'Teruhisa Kato', 'Takafumi Sato', 'Yuki Tachibana']","['Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.', 'Shionogi Pharmaceutical Research Center, 3-1-1 Futaba-cho, Toyonaka, Osaka 561-0825, Japan.']",
40615384,Hamsters immunized with formalin-inactivated SARS-CoV-2 develop accelerated lung histopathological lesions and Th2-biased response following infection.,2025,"['Kevin R Bewley', 'Yper Hall', 'Francisco Javier Salguero']","['United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.', 'United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.', 'United Kingdom Health Security Agency (UKHSA), Porton Down, Salisbury, UK.']",
40615136,Gender disparities in COVID-19 vaccine hesitancy in high-income countries: an umbrella review protocol.,2025,"['Chiara Noviello', 'Claudia Palmieri', 'Pasquale Stefanizzi', 'Silvio Tafuri']","['Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.', 'Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.', 'Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.', 'Department of Biomedical Science and Human Oncology, Universita degli Studi di Bari Aldo Moro, Bari, Italy.']",
40614182,Safety and immunogenicity of intranasal parainfluenza virus type 5 (PIV5)-vectored COVID-19 vaccine in adults and teens in an open-label phase 1 trial.,2025,"['Hong Jin', 'Kristeene Knopp', 'Henry Radziewicz', 'Marinka Tellier', 'Zhuo Li', 'Maria Cristina Gingerich', 'Samuel Wu', 'Biao He']","['CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.', 'CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.']",
40613103,A cost-effectiveness analysis of Molnupiravir and Paxlovid for outpatient treatment of COVID-19 in three African countries.,2025,"['Tom Drake', 'Peter Baker', 'Raji Tajudeen', 'Elias Asfaw', 'Javier Guzman', 'Nicaise Ndembi', 'Jean Kaseya']","['Center for Global Development, London, United Kingdom.', 'Center for Global Development, London, United Kingdom.', 'Africa Centres for Disease Control and Prevention (Africa CDC), Addis Ababa, Ethiopia.', 'Africa Centres for Disease Control and Prevention (Africa CDC), Addis Ababa, Ethiopia.', 'Center for Global Development, London, United Kingdom.', 'Africa Centres for Disease Control and Prevention (Africa CDC), Addis Ababa, Ethiopia.', 'Africa Centres for Disease Control and Prevention (Africa CDC), Addis Ababa, Ethiopia.']",
40613099,"COVID-19 knowledge, attitudes and practices in Thabo Mofutsanyana District, South Africa, 2022.",2025,"['Emily B Atuheire', 'Joy I Ebonwu']","['Division of Surveillance and Disease Intelligence, Africa Centres for Disease Control and Prevention, Addis Ababa, Ethiopia.', 'Division of Surveillance and Disease Intelligence, Africa Centres for Disease Control and Prevention, Addis Ababa, Ethiopia.']",
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025,"['Monica M Shieu', 'Daniel E Weiner', 'Nien Chen Li', 'Harold J Manley', 'Antonia Harford', 'Caroline M Hsu', 'Dana Miskulin', 'Doug Johnson', 'Eduardo K Lacson']","['Quality Analytics, Dialysis Clinic Inc., Nashville, TN.', 'William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.', 'Quality Analytics, Dialysis Clinic Inc., Nashville, TN.', 'Quality Analytics, Dialysis Clinic Inc., Nashville, TN.', 'Quality Analytics, Dialysis Clinic Inc., Nashville, TN.', 'William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.', 'William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.', 'Quality Analytics, Dialysis Clinic Inc., Nashville, TN.', 'Quality Analytics, Dialysis Clinic Inc., Nashville, TN.William B. Schwartz Division of Nephrology, Tufts Medical Center, Boston, MA.']",
40612551,Risk factors for severe COVID-19 outcomes in the Asia-Pacific region: a literature review.,2025,"['Madeline Thompson', 'Amanda K Buttery', 'Shu Xin Oh', 'Macy Chan', 'Byung Hyun Lee', 'Tomoharu Iino', 'Yu-Chun Alice Wang', 'Chris Clarke']","['Moderna, Melbourne, VIC, Australia.', 'Moderna, Melbourne, VIC, Australia.', 'Moderna, Singapore, Singapore.', 'Moderna, Hong Kong, Hong Kong SAR, China.', 'Moderna, Seoul, Republic of Korea.', 'Moderna, Tokyo, Japan.', 'Moderna, Taipei, Taiwan.', 'Moderna, Melbourne, VIC, Australia.']",
40612481,Pre-post data from a cogenerational health outreach program within federally qualified health centers: experiences in the encore intergenerational vaccine corps and assessments of different generations and public issues.,2025,"['Cecily Medved', 'James Emerman']","['CoGenerate, P.O. Box 29542, San Francisco, CA 94129, USA.', 'CoGenerate, P.O. Box 29542, San Francisco, CA 94129, USA.']",
40611858,Outcomes of the Unvaccinated Geriatric Population with Coronavirus Disease.,2025,"['Josué Morales', 'Paulino Vigil-De Gracia', 'Sassil Pitti', 'Vanessa González', 'Laura Concepción']","['Panamanian Social Security Fund (Caja de Seguro Social - CSS), Panama City, Panama.', 'Technology and Innovation (Secretaría Nacional de Ciencia, Tecnología e Innovación - SENACYT), Panama City, Panama.', 'Panamanian Social Security Fund (Caja de Seguro Social - CSS), Panama City, Panama.', 'Panamanian Social Security Fund (Caja de Seguro Social - CSS), Panama City, Panama.', 'Panamanian Social Security Fund (Caja de Seguro Social - CSS), Panama City, Panama.']",
40611257,Targeting heptad repeats and fusion peptide: nanoparticle vaccine elicits mucosal immune response against SARS-CoV-2 variants.,2025,"['Baisheng Li', 'Huan Zhang']","['Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.', 'Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.']",
40610704,Kikuchi-Fujimoto in the light of the COVID-19: infection and vaccination. A systematic review.,2025,"['Nelson Luis Cahuapaza-Gutierrez', 'Cielo Cinthya Calderon-Hernandez', 'Tatiana Vanessa Villavicencio-Escudero']","['Universidad Científica del Sur, Lima, Perú.CHANGE Research Working Group, Universidad Científica del Sur, Lima, Perú.Research Department, Center of Research and Medical Excellence (CRME), N y C, Lima, Perú.', 'Universidad Científica del Sur, Lima, Perú.CHANGE Research Working Group, Universidad Científica del Sur, Lima, Perú.Research Department, Center of Research and Medical Excellence (CRME), N y C, Lima, Perú.', 'Universidad Científica del Sur, Lima, Perú. tvillavicencio@cientifica.edu.pe.']",tvillavicencio@cientifica.edu.pe.
40609264,Education as a mediator of ethnic disparities in adult COVID-19 vaccination in Peru.,2025,"['Ali Al-Kassab-Córdova', 'Edward Mezones-Holguín']","['Centro de Excelencia en Investigaciones Económicas y Sociales en Salud, Universidad San Ignacio de Loyola, Lima, Peru. Electronic address: aliac1998@gmail.com.', 'Centro de Excelencia en Investigaciones Económicas y Sociales en Salud, Universidad San Ignacio de Loyola, Lima, Peru; Epignosis Solutions, Piura, Peru.']",aliac1998@gmail.com.
